,user_name,country,review_title,review_description,designation,points,price,province,region_1,region_2,winery,variety,sentiment
0,,Australia,Andrew Peace 2007 Peace Family Vineyard Chardonnay (South Eastern Australia),"Classic Chardonnay aromas of apple, pear and hay lead into a palate marked by decent intensity but also a bit of sweetness. Orange and candy notes run through the rather short finish.",Peace Family Vineyard,83,10.0,Australia Other,South Eastern Australia,,Andrew Peace,Chardonnay,"Sentiment(polarity=0.10833333333333334, subjectivity=0.4333333333333333)"
1,@wawinereport,US,North by Northwest 2014 Red (Columbia Valley (WA)),"This wine is near equal parts Syrah and Merlot with the balance Cabernet Sauvignon. Aromas of blue fruit, vanilla, cherry and herb lead to full-bodied pit-fruit flavors that bring a sense of deliciousness that is hard to resist.",,89,15.0,Washington,Columbia Valley (WA),Columbia Valley,North by Northwest,Red Blend,"Sentiment(polarity=-0.058333333333333334, subjectivity=0.3783333333333333)"
2,,Italy,Renato Ratti 2007 Conca  (Barolo),"Barolo Conca opens with inky dark concentration and soothing aromas of black fruit, spice, cola, plum, prune and dried lavender buds. The nose presents those ethereal and delicate aromas, but in the mouth, it delivers thicker flavors of chocolate and mocha. Drink after 2018.",Conca,94,80.0,Piedmont,Barolo,,Renato Ratti,Nebbiolo,"Sentiment(polarity=-0.20416666666666666, subjectivity=0.5833333333333334)"
3,@vossroger,France,Domaine l'Ancienne Cure 2010 L'Abbaye White (Bergerac Sec),"It's impressive what a small addition of Sauvignon Gris and Muscadelle can do to a Sauvignon-Sémillon blend—it turns this into an exotic wine, with spice and lychee flavors.",L'Abbaye,87,22.0,Southwest France,Bergerac Sec,,Domaine l'Ancienne Cure,Bordeaux-style White Blend,"Sentiment(polarity=0.4166666666666667, subjectivity=0.7999999999999999)"
4,@vossroger,France,Château du Cèdre 2012 Le Cèdre Vintage Malbec (Vin de Liqueur),"This ripe, sweet wine is rich and full of dried and fresh fruit flavors. It is spicy, with a touch of spirit on the palate as well as bold black-plum fruit, dense tannins and a sweet aftertaste. Drink from 2017.",Le Cèdre Vintage,88,33.0,France Other,Vin de Liqueur,,Château du Cèdre,Malbec,"Sentiment(polarity=0.2654761904761905, subjectivity=0.6238095238095237)"
5,@wineschach,Argentina,Andean 2005 Finca La Escondida Reserva Cabernet Sauvignon (San Juan),"Strident aromas of licorice, herbs, berries and mint make it interesting, while the palate is light and fresh, with raspberry and red currant flavors. There's not a lot of heft, extract or depth to the wine, but it's likable and unhindered by excess oak and such. Enjoyable due to its unchallenging simplicity.",Finca La Escondida Reserva,85,13.0,Other,San Juan,,Andean,Cabernet Sauvignon,"Sentiment(polarity=0.259375, subjectivity=0.45937500000000003)"
6,@wawinereport,US,Gordon Estate 2012 Tradition Red (Columbia Valley (WA)),"Half Syrah and half Cabernet Sauvignon, with 40% new French oak, this wine draws you in with its notes of blackberries, milk chocolate and anise. It's broad and fleshy in feel, with abundant coffee and cherry flavors backed by ample acidity.",Tradition,91,45.0,Washington,Columbia Valley (WA),Columbia Valley,Gordon Estate,Red Blend,"Sentiment(polarity=0.07758838383838383, subjectivity=0.34172979797979797)"
7,@vboone,US,Rock Wall 2014 Monte Rosso Reserve Zinfandel (Sonoma County),"High-toned red fruit stars in this wine, a nice showing of the sought-after vineyard site atop Moon Mountain. Soft, elegant and integrated in terms of tannin and oak, it retains the structure and acidity to age well and take on additional complexity. Drink now through 2020.",Monte Rosso Reserve,90,50.0,California,Sonoma County,Sonoma,Rock Wall,Zinfandel,"Sentiment(polarity=0.3, subjectivity=0.5875)"
8,@paulgwine ,US,Elizabeth Chambers 2014 Falcon Glen Vineyard Pinot Noir (McMinnville),"Displaying typical McMinnville AVA subtlety, this frames its tight raspberry fruit with mineral and iron ore details. Aging in neutral oak has helped soften the sharp edges a bit, without flavoring the wine.",Falcon Glen Vineyard,91,48.0,Oregon,McMinnville,Willamette Valley,Elizabeth Chambers,Pinot Noir,"Sentiment(polarity=-0.15674603174603174, subjectivity=0.5119047619047619)"
9,@kerinokeefe,Italy,Mannucci Droandi 2009 Ceppeto Riserva  (Chianti Classico),"This blend of Sangiovese and 10% Merlot opens with aromas of forest floor, ripe blackberry, cedar and menthol. The warm, evolved palate offers dried black cherry, licorice, mint, ground pepper and a gamy note alongside assertive, almost gritty tannins that leave an astringent finish.",Ceppeto Riserva,86,31.0,Tuscany,Chianti Classico,,Mannucci Droandi,Red Blend,"Sentiment(polarity=0.06666666666666665, subjectivity=0.4766666666666667)"
